Input State,Input Size,Selection,Heap,Merge,Quick,Bubble,Insertion,Radix 
Random,1000,0.002,0.001,0,0,0.001,0,0
Random,3000,0.009,0.003,0.001,0.001,0.01,0,0
Random,10000,0.102,0.01,0.004,0.001,0.119,0,0.001
Random,30000,0.879,0.03,0.013,0.003,1.049,0,0.004
Random,100000,9.809,0.115,0.044,0.013,11.557,0.001,0.011
Sorted,1000,0.001,0,0.001,0,0.001,0,0
Sorted,3000,0.01,0.002,0.001,0,0.01,0,0.001
Sorted,10000,0.102,0.009,0.004,0.001,0.116,0,0.001
Sorted,30000,0.874,0.031,0.012,0.002,1.048,0,0.004
Sorted,100000,9.69,0.113,0.044,0.008,11.593,0,0.011
Reverse,1000,0.001,0,0.001,0,0.001,0,0
Reverse,3000,0.008,0.003,0.001,0,0.01,0,0
Reverse,10000,0.089,0.009,0.004,0.001,0.116,0,0
Reverse,30000,0.787,0.03,0.012,0.002,1.045,0,0.003
Reverse,100000,8.852,0.113,0.044,0.009,11.508,0,0.011
NearlySorted,1000,0.001,0,0.001,0,0.001,0,0
NearlySorted,3000,0.009,0.003,0.001,0,0.01,0,0
NearlySorted,10000,0.104,0.009,0.004,0,0.115,0,0.002
NearlySorted,30000,0.879,0.03,0.013,0.002,1.044,0,0.004
NearlySorted,100000,9.776,0.115,0.043,0.008,11.526,0,0.011
